CpGs,Clock
cg04576021,SnB
cg10192196,SnB
cg18468088,SnB
cg03894990,SnB
cg01740766,SnB
cg16255583,SnB
cg04642300,SnB
cg17266282,SnB
cg07095347,SnB
cg00073460,SnB
cg16333846,SnB
cg13221458,SnB
cg05468948,SnB
cg00795927,SnB
cg08911208,SnB
cg22372849,SnB
cg16012294,SnB
cg22679120,SnB
cg13931228,SnB
cg27009703,SnB
cg11671968,SnB
cg26312920,SnB
cg19663246,SnB
cg14396995,SnB
cg18442362,SnB
cg09748749,SnB
cg20692569,SnB
cg23857078,SnB
cg21743182,SnB
cg09436502,SnB
cg00503840,SnB
cg04084157,SnB
cg14175438,SnB
cg20665157,SnB
cg21184711,SnB
cg02383785,SnB
cg04528819,SnB
cg20426994,SnB
cg08097417,SnB
cg02821342,SnB
cg20397034,SnB
cg03473532,SnB
cg08280936,SnB
cg08540945,SnB
cg18769120,SnB
cg26101086,SnB
cg19859445,SnB
cg07502389,SnB
cg18267374,SnB
cg00582628,SnB
cg16419235,SnB
cg23710218,SnB
cg07583137,SnB
cg12402251,SnB
cg19497517,SnB
cg13586038,SnB
cg19724470,SnB
cg07211259,SnB
cg07158339,SnB
cg24046474,SnB
cg14059835,SnB
cg10570177,SnB
cg13649056,SnB
cg13734401,SnB
cg26581729,SnB
cg06231995,SnB
cg14411282,SnB
cg12530994,SnB
cg23754392,SnB
cg06908778,SnB
cg22796704,SnB
cg01560871,SnB
cg04268405,SnB
cg18738190,SnB
cg04126866,SnB
cg25427880,SnB
cg09671951,SnB
cg06888746,SnB
cg24838825,SnB
cg13848598,SnB
cg07906193,SnB
cg12776156,SnB
cg05928581,SnB
cg17627559,SnB
cg23091758,SnB
cg04940570,SnB
cg10825530,SnB
cg20654468,SnB
cg26552743,SnB
cg21992250,SnB
cg15015340,SnB
cg22843803,SnB
cg02532488,SnB
cg13547237,SnB
cg06419846,SnB
cg05496363,SnB
cg20063906,SnB
cg12328429,SnB
cg25969122,SnB
cg18633600,SnB
cg08622677,SnB
cg01820374,SnB
cg25719851,SnB
cg13828440,SnB
cg26986871,SnB
cg00748589,SnB
cg21747310,SnB
cg00431549,SnB
cg13302154,SnB
cg13909661,SnB
cg19722847,SnB
cg26311454,SnB
cg08900043,SnB
cg00753885,SnB
cg18573383,SnB
cg15405572,SnB
cg01528542,SnB
cg08993878,SnB
cg22827210,SnB
cg03670162,SnB
cg04596060,SnB
cg21907579,SnB
cg10281002,SnB
cg07172885,SnB
cg20404336,SnB
cg18582260,SnB
cg22179082,SnB
cg06648759,SnB
cg23357533,SnB
cg20102280,SnB
cg13767001,SnB
cg23389651,SnB
cg09646392,SnB
cg00593462,SnB
cg07115626,SnB
cg06738602,SnB
cg03032497,SnB
cg18771300,SnB
cg24058132,SnB
cg13027206,SnB
cg15480367,SnB
cg12177001,SnB
cg23709172,SnB
cg14334310,SnB
cg04875128,SnB
cg21296230,SnB
cg02071305,SnB
cg03361973,SnB
cg16717122,SnB
cg04858164,SnB
cg25005357,SnB
cg08454546,SnB
cg21801378,SnB
cg15188939,SnB
cg20540209,SnB
cg05542681,SnB
cg08949164,SnB
cg09183146,SnB
cg00454305,SnB
cg02871659,SnB
cg00991848,SnB
cg02331561,SnB
cg26974444,SnB
cg06112560,SnB
cg10917602,SnB
cg09155044,SnB
cg04031656,SnB
cg03746976,SnB
cg18693704,SnB
cg00658652,SnB
cg03991512,SnB
cg22947000,SnB
cg07082267,SnB
cg03486383,SnB
cg02228185,SnB
cg23668631,SnB
cg14522800,SnB
cg25135555,SnB
cg13029847,SnB
cg06144905,SnB
cg11896923,SnB
cg06874016,SnB
cg25809905,SnB
cg04267101,SnB
cg22507023,SnB
cg02867102,SnB
cg13093111,SnB
cg13683374,SnB
cg10644544,SnB
cg03643998,SnB
cg11620135,SnB
cg25436157,SnB
cg24217948,SnB
cg17589341,SnB
cg17243289,SnB
cg12459502,SnB
cg19283806,SnB
cg10052840,SnB
cg26005082,SnB
cg11766468,SnB
cg10586358,SnB
cg14556683,SnB
cg26842024,SnB
cg18335931,SnB
cg17861230,SnB
cg10498798,SnB
cg27212234,SnB
cg17110586,SnB
cg21944491,SnB
cg21940708,SnB
cg15811427,SnB
cg06458239,SnB
cg10729426,SnB
cg21911021,SnB
cg24834740,SnB
cg19702785,SnB
cg07547549,SnB
cg12303084,SnB
cg27544190,SnB
cg01262913,SnB
cg17274064,SnB
cg09428349,SnB
cg10636297,SnB
cg12373771,SnB
cg05442902,SnB
cg16612562,SnB
cg19015086,SnB
cg21205978,SnB
cg01949403,SnB
cg08415592,SnB
cg19853760,SnB
cg23124451,SnB
cg25459323,SnB
cg27187881,SnB
cg00343092,SnB
cg00347775,SnB
cg27131176,SnB
cg22982767,SnB
cg07016730,SnB
cg01892695,SnB
cg24611351,Zhang
cg24173182,Zhang
cg09604333,Zhang
cg13617776,Zhang
cg09432590,Zhang
cg05516505,Zhang
cg12757684,Zhang
cg23606718,Zhang
cg20050761,Zhang
cg22452230,Zhang
cg05898618,Zhang
cg01620164,Zhang
cg06758350,Zhang
cg23615741,Zhang
cg09692396,Zhang
cg02046143,Zhang
cg08540945,Zhang
cg11714320,Zhang
cg22708738,Zhang
cg21567504,Zhang
cg08313880,Zhang
cg03527802,Zhang
cg23995914,Zhang
cg04027548,Zhang
cg07077459,Zhang
cg03025830,Zhang
cg07978099,Zhang
cg24349631,Zhang
cg04218760,Zhang
cg24788483,Zhang
cg11051055,Zhang
cg16419235,Zhang
cg07584066,Zhang
cg01054110,Zhang
cg02001279,Zhang
cg00271522,Zhang
cg01055824,Zhang
cg23510258,Zhang
cg07248223,Zhang
cg17163168,Zhang
cg18468088,Zhang
cg03771840,Zhang
cg27619353,Zhang
cg12477880,Zhang
cg23889772,Zhang
cg14224203,Zhang
cg04875128,Zhang
cg23159704,Zhang
cg02355868,Zhang
cg14911690,Zhang
cg23552977,Zhang
cg21186299,Zhang
cg15220605,Zhang
cg19283806,Zhang
cg21251970,Zhang
cg01256539,Zhang
cg15277914,Zhang
cg05542681,Zhang
cg22378065,Zhang
cg00910503,Zhang
cg05960039,Zhang
cg23744638,Zhang
cg26685941,Zhang
cg04861640,Zhang
cg06784991,Zhang
cg24862131,Zhang
cg26147845,Zhang
cg22185977,Zhang
cg07955995,Zhang
cg13917614,Zhang
cg14010720,Zhang
cg10804656,Zhang
cg27432653,Zhang
cg11832534,Zhang
cg16867657,Zhang
cg21159778,Zhang
cg22282410,Zhang
cg14757228,Zhang
cg14746276,Zhang
cg01873886,Zhang
cg24745327,Zhang
cg09935271,Zhang
cg11006267,Zhang
cg22352234,Zhang
cg22454769,Zhang
cg15648389,Zhang
cg27455578,Zhang
cg17782713,Zhang
cg08276993,Zhang
cg04646282,Zhang
cg07536102,Zhang
cg00302979,Zhang
cg03032497,Zhang
cg10658666,Zhang
cg05546763,Zhang
cg14098795,Zhang
cg04621728,Zhang
cg12939283,Zhang
cg13824500,Zhang
cg02497428,Zhang
cg22358580,Zhang
cg06574422,Zhang
cg00797278,Zhang
cg23008153,Zhang
cg11271171,Zhang
cg15900052,Zhang
cg12948621,Zhang
cg02272599,Zhang
cg23510764,Zhang
cg14847502,Zhang
cg26614073,Zhang
cg04084157,Zhang
cg01511232,Zhang
cg10495047,Zhang
cg24550456,Zhang
cg24169822,Zhang
cg22016779,Zhang
cg23712970,Zhang
cg03619256,Zhang
cg13409704,Zhang
cg03646329,Zhang
cg16608498,Zhang
cg01196788,Zhang
cg17243289,Zhang
cg18343474,Zhang
cg18310639,Zhang
cg16584662,Zhang
cg03633574,Zhang
cg19789753,Zhang
cg24883498,Zhang
cg04836038,Zhang
cg20761322,Zhang
cg19596273,Zhang
cg16618104,Zhang
cg12419932,Zhang
cg17254383,Zhang
cg27447740,Zhang
cg00756943,Zhang
cg10905180,Zhang
cg06805925,Zhang
cg05324516,Zhang
cg01364769,Zhang
cg20052760,Zhang
cg08761208,Zhang
cg08573679,Zhang
cg07172885,Zhang
cg23808301,Zhang
cg23357854,Zhang
cg04662594,Zhang
cg24620508,Zhang
cg22296808,Zhang
cg12424329,Zhang
cg05262777,Zhang
cg22809047,Zhang
cg08908643,Zhang
cg12788037,Zhang
cg11067179,Zhang
cg14314729,Zhang
cg11718162,Zhang
cg25415508,Zhang
cg07502389,Zhang
cg25450819,Zhang
cg14359680,Zhang
cg13278496,Zhang
cg24987259,Zhang
cg15110296,Zhang
cg23361092,Zhang
cg25149218,Zhang
cg18450254,Zhang
cg13937040,Zhang
cg15339075,Zhang
cg26116103,Zhang
cg14753631,Zhang
cg15936446,Zhang
cg12649038,Zhang
cg03163545,Zhang
cg07207669,Zhang
cg25305703,Zhang
cg22682373,Zhang
cg07717903,Zhang
cg06326667,Zhang
cg10619342,Zhang
cg25618424,Zhang
cg03638795,Zhang
cg07319199,Zhang
cg14776578,Zhang
cg20322193,Zhang
cg23460961,Zhang
cg21867345,Zhang
cg24090911,Zhang
cg09624858,Zhang
cg13663218,Zhang
cg06819923,Zhang
cg19663246,Zhang
cg14209784,Zhang
cg23836737,Zhang
cg22793142,Zhang
cg26725786,Zhang
cg03467555,Zhang
cg08397927,Zhang
cg03788004,Zhang
cg13491731,Zhang
cg01542719,Zhang
cg19343530,Zhang
cg01792616,Zhang
cg22156456,Zhang
cg10036013,Zhang
cg18064714,Zhang
cg12068124,Zhang
cg24696028,Zhang
cg12934320,Zhang
cg22197050,Zhang
cg22517995,Zhang
cg03261929,Zhang
cg07825606,Zhang
cg27021512,Zhang
cg00463859,Zhang
cg13029847,Zhang
cg18125510,Zhang
cg05915866,Zhang
cg03773862,Zhang
cg16717122,Zhang
cg15603896,Zhang
cg19505546,Zhang
cg20149168,Zhang
cg04105923,Zhang
cg18335931,Zhang
cg11653233,Zhang
cg07211259,Zhang
cg25386151,Zhang
cg20492951,Zhang
cg15338967,Zhang
cg01433297,Zhang
cg15845821,Zhang
cg08329113,Zhang
cg07374224,Zhang
cg01222316,Zhang
cg06068163,Zhang
cg06526721,Zhang
cg21072934,Zhang
cg10772169,Zhang
cg06493994,Zhang
cg23078123,Zhang
cg00717297,Zhang
cg26668490,Zhang
cg25410668,Zhang
cg01844642,Zhang
cg10106965,Zhang
cg27168858,Zhang
cg08038054,Zhang
cg21184711,Zhang
cg01176329,Zhang
cg02151816,Zhang
cg02533423,Zhang
cg07320140,Zhang
cg13033858,Zhang
cg12968224,Zhang
cg05294577,Zhang
cg07082267,Zhang
cg18875012,Zhang
cg21631428,Zhang
cg01528542,Zhang
cg24845578,Zhang
cg00793186,Zhang
cg06648759,Zhang
cg20665157,Zhang
cg15059474,Zhang
cg07571951,Zhang
cg09524078,Zhang
cg24350475,Zhang
cg06457011,Zhang
cg23538901,Zhang
cg05308819,Zhang
cg26483332,Zhang
cg18240463,Zhang
cg03915012,Zhang
cg01820962,Zhang
cg01794929,Zhang
cg02452500,Zhang
cg14162417,Zhang
cg20988565,Zhang
cg27338353,Zhang
cg23900712,Zhang
cg09383860,Zhang
cg12899747,Zhang
cg01226614,Zhang
cg06852243,Zhang
cg00753885,Zhang
cg04092800,Zhang
cg27059819,Zhang
cg06685111,Zhang
cg08963419,Zhang
cg06083669,Zhang
cg13388466,Zhang
cg00925087,Zhang
cg15393490,Zhang
cg07810190,Zhang
cg04604946,Zhang
cg10052840,Zhang
cg21563471,Zhang
cg00805193,Zhang
cg23174607,Zhang
cg12258344,Zhang
cg01141812,Zhang
cg20324262,Zhang
cg05310309,Zhang
cg12506930,Zhang
cg02426324,Zhang
cg02181968,Zhang
cg25309888,Zhang
cg16477091,Zhang
cg27430293,Zhang
cg09652142,Zhang
cg04709900,Zhang
cg20960181,Zhang
cg07547549,Zhang
cg06836406,Zhang
cg25178749,Zhang
cg06335143,Zhang
cg07850154,Zhang
cg08468401,Zhang
cg01738984,Zhang
cg08822715,Zhang
cg07073120,Zhang
cg03607117,Zhang
cg15553770,Zhang
cg21515349,Zhang
cg07101980,Zhang
cg11830800,Zhang
cg23858532,Zhang
cg09809672,Zhang
cg24150153,Zhang
cg07095347,Zhang
cg22881141,Zhang
cg01055871,Zhang
cg00548098,Zhang
cg24091819,Zhang
cg22112832,Zhang
cg01356950,Zhang
cg21949781,Zhang
cg08151809,Zhang
cg00241664,Zhang
cg03984502,Zhang
cg04955333,Zhang
cg03232933,Zhang
cg05694095,Zhang
cg24711649,Zhang
cg18917643,Zhang
cg09748749,Zhang
cg13612317,Zhang
cg17110586,Zhang
cg20756600,Zhang
cg18537454,Zhang
cg19583819,Zhang
cg20525917,Zhang
cg19722847,Zhang
cg21860825,Zhang
cg10917602,Zhang
cg11084334,Zhang
cg00850073,Zhang
cg27508620,Zhang
cg06007201,Zhang
cg11491284,Zhang
cg17472796,Zhang
cg27597505,Zhang
cg26765385,Zhang
cg05612876,Zhang
cg20964423,Zhang
cg18933331,Zhang
cg11807280,Zhang
cg04596060,Zhang
cg17953385,Zhang
cg23097079,Zhang
cg04200607,Zhang
cg14074174,Zhang
cg06532163,Zhang
cg27386529,Zhang
cg23373640,Zhang
cg15089077,Zhang
cg23753748,Zhang
cg11858226,Zhang
cg02795076,Zhang
cg20822990,Zhang
cg11789321,Zhang
cg22864500,Zhang
cg08429256,Zhang
cg26833936,Zhang
cg10203610,Zhang
cg10453071,Zhang
cg03421353,Zhang
cg13149736,Zhang
cg02204637,Zhang
cg04684267,Zhang
cg04055490,Zhang
cg07040244,Zhang
cg26925981,Zhang
cg25148589,Zhang
cg17621438,Zhang
cg19031565,Zhang
cg03076094,Zhang
cg00593462,Zhang
cg11220950,Zhang
cg05106770,Zhang
cg12379720,Zhang
cg24403644,Zhang
cg01136606,Zhang
cg09118625,Zhang
cg03039990,Zhang
cg05780020,Zhang
cg19034084,Zhang
cg05522498,Zhang
cg19761273,Zhang
cg26921969,Zhang
cg01832549,Zhang
cg09143195,Zhang
cg02838492,Zhang
cg20592391,Zhang
cg09315264,Zhang
cg01331772,Zhang
cg27367526,Zhang
cg09164913,Zhang
cg11136562,Zhang
cg04999352,Zhang
cg02762363,Zhang
cg04149978,Zhang
cg05923226,Zhang
cg21116457,Zhang
cg00772585,Zhang
cg25838150,Zhang
cg18448426,Zhang
cg02836046,Zhang
cg12578166,Zhang
cg26105310,Zhang
cg21144928,Zhang
cg18281842,Zhang
cg15673540,Zhang
cg21809447,Zhang
cg04144218,Zhang
cg06672696,Zhang
cg18457597,Zhang
cg12138483,Zhang
cg15903032,Zhang
cg17616646,Zhang
cg22971191,Zhang
cg07850604,Zhang
cg10647101,Zhang
cg22073802,Zhang
cg04361926,Zhang
cg17168836,Zhang
cg01435493,Zhang
cg03957108,Zhang
cg17607231,Zhang
cg13575542,Zhang
cg07080372,Zhang
cg02871659,Zhang
cg12134570,Zhang
cg21874213,Zhang
cg24891133,Zhang
cg04757168,Zhang
cg17338821,Zhang
cg03234186,Zhang
cg23718736,Zhang
cg23500537,Zhang
cg17769442,Zhang
cg26158023,Zhang
cg09255514,Zhang
cg06396324,Zhang
cg13615100,Zhang
cg17183905,Zhang
cg04521765,Zhang
cg00481951,Zhang
cg06639320,Zhang
cg08357125,Zhang
cg05998295,Zhang
cg22580512,Zhang
cg25478614,Zhang
cg16032108,Zhang
cg01447660,Zhang
cg02018902,Zhang
cg00740914,Zhang
cg01031400,Zhang
cg12490835,Zhang
cg08234504,Zhang
cg20420249,Zhang
cg04081402,Zhang
cg14699004,Zhang
cg22162281,Zhang
cg15519474,Zhang
cg12350474,Zhang
cg08657705,Zhang
cg02025827,Zhang
cg08097417,Zhang
cg26469387,Zhang
cg00096065,Zhang
cg12145907,Zhang
cg04436528,Zhang
cg27640528,Zhang
cg06547285,Zhang
cg21899500,Zhang
cg23829395,Zhang
cg01757168,Zhang
cg14748856,Zhang
cg19166302,Zhang
cg13674411,Zhang
cg02037503,Zhang
cg13567282,Zhang
cg10625705,Zhang
cg09929187,Zhang
cg13593287,Zhang
cg04749507,Zhang
cg21674704,Zhang
cg25909396,Zhang
cg12402251,Zhang
cg20515136,Zhang
