,GSM1272122,GSM1272123,GSM1272124,GSM1272125,GSM1272126,GSM1272127,GSM1272128,GSM1272129,GSM1272130,GSM1272131,GSM1272132,GSM1272133,GSM1272134,GSM1272135,GSM1272136,GSM1272137,GSM1272138,GSM1272139,GSM1272140,GSM1272141,GSM1272142,GSM1272143,GSM1272144,GSM1272145,GSM1272146,GSM1272147,GSM1272148,GSM1272149,GSM1272150,GSM1272151,GSM1272152,GSM1272153,GSM1272154,GSM1272155,GSM1272156,GSM1272157,GSM1272158,GSM1272159,GSM1272160,GSM1272161,GSM1272162,GSM1272163,GSM1272164,GSM1272165,GSM1272166,GSM1272167,GSM1272168,GSM1272169,GSM1272170,GSM1272171,GSM1272172,GSM1272173,GSM1272174,GSM1272175,GSM1272176,GSM1272177,GSM1272178,GSM1272179,GSM1272180,GSM1272181,GSM1272182,GSM1272183,GSM1272184,GSM1272185,GSM1272186,GSM1272187,GSM1272188,GSM1272189,GSM1272190,GSM1272191,GSM1272192,GSM1272193,GSM1272194,GSM1272195,GSM1272196,GSM1272197,GSM1272198,GSM1272199,GSM1272200,GSM1272201,GSM1272202,GSM1272203,GSM1272204,GSM1272205,GSM1272206,GSM1272207,GSM1272208
cg05991454,0.0813346,0.06094517,0.07315464,0.08685446,0.1898734,0.1381927,0.08076372,0.106146,0.1066403,0.1343818,0.09624649,0.1006135,0.1294514,0.1937944,0.118508,0.08802728,0.1291831,0.08114906,0.1006385,0.1162301,0.1626367,0.08731694,0.06304547,0.07006186,0.09100677,0.06890636,0.1175874,0.07021122,0.07675023,0.07139096,0.07293482,0.05914209,0.08709116,0.0906801,0.095796,0.09001976,0.05987578,0.1035667,0.125058,0.08438099,0.1597565,0.1095574,0.07606117,0.1016431,0.08499011,0.1058987,0.07730946,0.1091518,0.09587617,0.1051199,0.09238482,0.1235803,0.07587199,0.08342517,0.05673759,0.1101809,0.05460372,0.09016661,0.1888348,0.1285214,0.1089163,0.1302167,0.1375661,0.2227701,0.1367933,0.1723131,0.1578076,0.1778216,0.14241,0.231998,0.167999,0.17428,0.1116838,0.1232021,0.1323313,0.1215625,0.1809476,0.2358302,0.1787589,0.1332935,0.1478503,0.1588512,0.1476149,0.1320551,0.1679249,0.1026065,0.09462249
cg26290632,0.09401907,0.1088859,0.1520565,0.1628618,0.2536402,0.1859118,0.15336,0.15207,0.1830888,0.1449213,0.1536413,0.1713116,0.1644164,0.1880647,0.146101,0.1745227,0.1768622,0.1447865,0.1177383,0.1520299,0.1884011,0.1354011,0.1180917,0.09289837,0.1471721,0.123226,0.2120801,0.1195479,0.1177734,0.1518364,0.1649488,0.1226603,0.1493153,0.1602644,0.1749581,0.1458691,0.1423007,0.149858,0.1842013,0.1349881,0.1910206,0.1804368,0.1768826,0.1818269,0.1043213,0.1351981,0.1343199,0.1120788,0.1894794,0.1900964,0.1487075,0.1373885,0.1466795,0.1552271,0.1396877,0.1760754,0.1057697,0.1229149,0.2496513,0.1731768,0.1789366,0.1971433,0.1820655,0.236163,0.203717,0.22401,0.2256475,0.226565,0.2270139,0.2255445,0.2074992,0.2012904,0.1867208,0.1858306,0.1990289,0.1908943,0.223664,0.2021802,0.2344798,0.2147141,0.2246085,0.1955322,0.1810443,0.213046,0.1967003,0.1605723,0.165889
cg03738025,0.04212025,0.04241591,0.05287098,0.1116314,0.369902,0.2260931,0.09212364,0.1057933,0.1356577,0.1369777,0.1155427,0.1139847,0.2041114,0.2613391,0.1170859,0.1918771,0.2286208,0.1199609,0.1296958,0.1667592,0.326953,0.1159856,0.09699582,0.06372622,0.1810495,0.08672448,0.3186274,0.1747912,0.07532276,0.1275372,0.1354706,0.06233841,0.08415706,0.1599498,0.1296853,0.08123779,0.1045082,0.1373877,0.1752477,0.09486632,0.1646168,0.1516206,0.09257482,0.2067767,0.1372786,0.1693755,0.1361837,0.1737589,0.166034,0.2133421,0.2011788,0.264237,0.1193515,0.1264425,0.08609674,0.3046767,0.1370834,0.1157078,0.2534131,0.2181596,0.1244531,0.1405663,0.2345456,0.3309393,0.2027392,0.2929864,0.2438568,0.2122947,0.3279526,0.2853714,0.2057619,0.1780721,0.1883117,0.2246585,0.2016584,0.2121022,0.3926736,0.2999377,0.3657095,0.2233895,0.2435997,0.2987855,0.2097246,0.2192357,0.2445742,0.1860142,0.1895096
cg13954457,0.06429114,0.06137501,0.09500697,0.1153153,0.2925532,0.1966797,0.1245339,0.1237685,0.1532113,0.1279237,0.1346749,0.1278575,0.1629997,0.291952,0.1292968,0.09868051,0.1916476,0.06644823,0.07582964,0.1385791,0.2957305,0.09212527,0.08588081,0.07909452,0.1311433,0.09774877,0.2909796,0.08701108,0.118927,0.1016885,0.09975727,0.06349504,0.1082775,0.1230669,0.1620393,0.1024137,0.09054375,0.1046068,0.1485948,0.0810499,0.1433912,0.1613326,0.1005119,0.1553893,0.09959844,0.1486822,0.09129407,0.09990032,0.131695,0.1797735,0.2006218,0.234252,0.1281031,0.1103307,0.1006164,0.1985571,0.1223757,0.08734958,0.2278592,0.1578199,0.130054,0.1433113,0.1653907,0.2492899,0.1764792,0.2619012,0.2561855,0.1708622,0.2174274,0.2696783,0.1701138,0.1732012,0.1446989,0.1570213,0.1383214,0.214833,0.2946405,0.3442004,0.2834984,0.1562,0.2465152,0.2655271,0.1715634,0.2055783,0.2183479,0.1444677,0.2067618
cg07416237,0.1438226,0.1219441,0.1375112,0.1380406,0.1752547,0.1887226,0.1388331,0.1659401,0.167446,0.1628703,0.1201519,0.1450412,0.1357849,0.2123095,0.1655833,0.1180003,0.1229828,0.1547304,0.1383389,0.1492164,0.2108278,0.09708653,0.1124144,0.1001486,0.1601393,0.122004,0.1775477,0.1016866,0.1116114,0.1452633,0.1421545,0.1337031,0.1568525,0.1743897,0.1574434,0.1591222,0.1809539,0.1693516,0.2168352,0.1384865,0.1984904,0.160221,0.1754075,0.216122,0.1377515,0.1596221,0.1609594,0.1420422,0.1404677,0.1839547,0.1554104,0.1617677,0.144397,0.1447265,0.1726061,0.174706,0.1430548,0.1386831,0.2444855,0.2099897,0.148182,0.1840203,0.2521358,0.2631937,0.2280141,0.2246965,0.2219101,0.2082448,0.254436,0.2430655,0.214748,0.220499,0.1780706,0.1990451,0.2366354,0.1837691,0.2490925,0.2860317,0.2490826,0.1937951,0.2370106,0.1889489,0.1733898,0.2284382,0.228082,0.1693376,0.2262816
cg23606718,0.05347414,0.04162057,0.05951527,0.1067136,0.1727285,0.1401715,0.09480292,0.1125371,0.1235227,0.111132,0.08750414,0.09572767,0.1318177,0.1342244,0.08553511,0.07787342,0.08882907,0.07746063,0.09471695,0.1177057,0.1939694,0.07931349,0.05932908,0.07129599,0.1055168,0.08984463,0.2190784,0.0861645,0.08140197,0.09695747,0.08958735,0.06614123,0.08487629,0.104904,0.1230289,0.0807827,0.06812201,0.09280814,0.1118694,0.07071051,0.1613965,0.1304148,0.1042893,0.1454406,0.0905567,0.09468014,0.07542457,0.08709059,0.1164278,0.1641694,0.06923348,0.1004489,0.1041149,0.06044503,0.07119936,0.1131184,0.08010945,0.103149,0.2032056,0.131635,0.09588501,0.1254574,0.1514606,0.1700159,0.1225943,0.1823915,0.1697942,0.1678161,0.1644609,0.2039126,0.1860647,0.1874812,0.1132408,0.1495993,0.1575909,0.1460674,0.1544805,0.2739047,0.196665,0.149211,0.1764385,0.1419284,0.114198,0.1983882,0.1628432,0.155249,0.1410166
cg18933331,0.4526291,0.4426199,0.4887884,0.4322796,0.298531,0.3979253,0.4452585,0.3515482,0.4248515,0.352059,0.3295439,0.3338117,0.4721695,0.3601816,0.3248481,0.3692824,0.3829668,0.379178,0.3480811,0.3021006,0.3887131,0.3242585,0.4312289,0.3818816,0.3947775,0.3781772,0.365278,0.3710339,0.4403455,0.4738002,0.4781739,0.4798299,0.4617375,0.36498,0.451178,0.4540058,0.3922779,0.4441437,0.3900894,0.4251966,0.3776494,0.4466151,0.4450303,0.4398209,0.482147,0.5319644,0.4969585,0.4753428,0.342245,0.4362458,0.4201587,0.4079343,0.4488391,0.4175875,0.4680968,0.4410141,0.5288026,0.4744546,0.4504131,0.403017,0.4438586,0.3576868,0.3390096,0.3745264,0.3996634,0.3667361,0.3525858,0.3361952,0.4066472,0.2943435,0.4060458,0.4206458,0.4014729,0.4086787,0.4025185,0.4670084,0.4300815,0.2999963,0.4147694,0.3373757,0.3875883,0.3546269,0.3878544,0.2852538,0.3855859,0.4183784,0.3984307
cg06279276,0.1199949,0.1586397,0.2246142,0.2973551,0.3403403,0.1434078,0.246979,0.1888473,0.2152321,0.1624507,0.2038835,0.33584,0.1580169,0.3409545,0.2797382,0.1759926,0.2181279,0.2382841,0.2025891,0.218064,0.1925172,0.1860672,0.1324072,0.2811587,0.3336952,0.3328703,0.3013837,0.1851764,0.1898118,0.1618759,0.1076357,0.1127499,0.1328591,0.1850064,0.158104,0.1291385,0.1513002,0.1302083,0.194612,0.1496579,0.183654,0.1304966,0.1447435,0.1106927,0.1175839,0.1327441,0.08748422,0.1163764,0.1867443,0.2166934,0.1490599,0.1697745,0.2163814,0.1775819,0.1286232,0.2236572,0.1101341,0.1422996,0.275737,0.2761252,0.1989123,0.2828355,0.3090522,0.2704264,0.2499533,0.132346,0.2686233,0.2746439,0.355106,0.2647925,0.2938725,0.1970347,0.2784601,0.2690741,0.2825578,0.2008804,0.2781471,0.2217528,0.3277429,0.224967,0.3092445,0.2546074,0.3470425,0.07677251,0.3241371,0.1507973,0.2368891
cg11220950,0.3915389,0.3739035,0.3839725,0.3988006,0.3673915,0.3662924,0.3457262,0.3657699,0.3521635,0.3610438,0.3445836,0.3472638,0.338445,0.3568576,0.3537402,0.3283732,0.3697601,0.3254916,0.351722,0.3632508,0.3738929,0.3187388,0.3019139,0.3017233,0.3702708,0.3415268,0.394465,0.322653,0.3843071,0.3618877,0.4222081,0.3716301,0.3360309,0.3658162,0.3506584,0.3325547,0.3461489,0.3710251,0.4008759,0.3554939,0.3803342,0.3980864,0.3554963,0.3596076,0.3615265,0.3753141,0.3697472,0.3641182,0.3608434,0.4048293,0.3383825,0.3359542,0.3445418,0.4001892,0.352711,0.3914721,0.3501697,0.3565093,0.4273856,0.4358436,0.4261174,0.3835581,0.421721,0.4047955,0.3803398,0.4004588,0.4265642,0.4004186,0.450532,0.401187,0.4295483,0.404707,0.4272117,0.3863738,0.4242568,0.3608124,0.4216881,0.407139,0.4326962,0.396652,0.3901564,0.3800657,0.4463251,0.363355,0.4185179,0.3745447,0.5309821
cg16419235,0.1206189,0.1219997,0.1400615,0.1864847,0.2600874,0.1955931,0.1582717,0.1398565,0.1743643,0.1839013,0.1515943,0.162155,0.184939,0.1922301,0.1714848,0.141791,0.1685991,0.1303599,0.1390626,0.1424543,0.2047279,0.115613,0.08774929,0.1029255,0.1151331,0.102536,0.1536677,0.08868501,0.1018693,0.1327725,0.1683336,0.1038675,0.1645677,0.1592282,0.1762107,0.1287391,0.1148692,0.149591,0.175,0.1344901,0.1675135,0.1429213,0.1478909,0.1570323,0.1231133,0.1243472,0.1029313,0.1278709,0.1357941,0.151411,0.1221644,0.1433168,0.1367713,0.1180058,0.1135826,0.1472666,0.09030636,0.1073228,0.2023505,0.2182515,0.1614216,0.1832135,0.1933058,0.2875763,0.1802928,0.2233926,0.2162612,0.2164316,0.2115332,0.2267984,0.2128939,0.2058135,0.1454394,0.1563846,0.1942948,0.1766527,0.1981212,0.2099567,0.2341745,0.1753524,0.1656995,0.1723663,0.1603827,0.185004,0.2044312,0.1613692,0.1897369
cg16867657,0.4973204,0.3973691,0.4414766,0.460575,0.5878361,0.5398035,0.5293728,0.5222943,0.4996197,0.5662617,0.533585,0.6125429,0.4576688,0.590708,0.5522607,0.4207406,0.4783984,0.416,0.4369133,0.5225257,0.5092431,0.423409,0.3821179,0.4239786,0.4991308,0.4539056,0.5259055,0.3508465,0.4233724,0.5155009,0.5012811,0.4611437,0.4725701,0.5841457,0.5187507,0.538137,0.4917883,0.5534943,0.6341959,0.5358674,0.6257231,0.56345,0.5591574,0.5631121,0.4240755,0.4729823,0.4922323,0.4922854,0.6044514,0.6001652,0.5025763,0.4636524,0.4671179,0.5292068,0.4943344,0.574625,0.3745081,0.4792472,0.6954825,0.6391534,0.6189205,0.6341174,0.6741619,0.6874188,0.6691273,0.6947878,0.6866599,0.77288,0.6746266,0.8023942,0.6815017,0.691457,0.6841515,0.5871931,0.5960706,0.5501575,0.6839942,0.7023789,0.7143273,0.6546779,0.6297596,0.6179675,0.6758358,0.6383192,0.6478373,0.588567,0.6742718
cg08453194,0.4736387,0.5271496,0.5196505,0.4520507,0.450875,0.4558544,0.52,0.4822222,0.4672198,0.4426918,0.4777423,0.4523026,0.4924389,0.4386637,0.4372383,0.4471241,0.4089256,0.4617481,0.4580578,0.3795975,0.3708212,0.4229915,0.4342531,0.4169339,0.4277047,0.4329268,0.3003059,0.3980583,0.4488253,0.4411554,0.5092728,0.507778,0.4750896,0.4503958,0.4639747,0.4798543,0.4622961,0.4577079,0.443388,0.4277226,0.4872595,0.4550731,0.4446394,0.4310693,0.4931174,0.4205842,0.479575,0.4330396,0.3819514,0.4292404,0.4397452,0.4366092,0.3692827,0.397496,0.4374943,0.3274102,0.4383209,0.4234949,0.452007,0.4063977,0.441733,0.409542,0.4040807,0.4158295,0.4595481,0.4378887,0.427351,0.3573329,0.4215913,0.3485725,0.4380426,0.4500084,0.4734463,0.424065,0.4025281,0.4187342,0.3499189,0.2812734,0.3650635,0.3582531,0.4440262,0.3656305,0.3747923,0.2907493,0.3751618,0.40385,0.3989532
cg19344626,0.7419578,0.8017819,0.8900791,0.7013655,0.7903086,0.8996316,0.9066174,0.8630648,0.8344718,0.7922633,0.7435442,0.8044863,0.9439065,0.7951753,0.7215347,0.8233141,0.8128385,0.8932657,0.8974054,0.8126672,0.7964328,0.8335589,0.8716288,0.809876,0.7636317,0.7751759,0.5816147,0.7997444,0.8240469,0.7600307,0.8275282,0.796202,0.8121198,0.6690463,0.8597768,0.8175527,0.8226505,0.8520261,0.7072635,0.7630843,0.7232624,0.8802092,0.8467756,0.8635403,0.8825234,0.8514628,0.8485738,0.7912008,0.7891107,0.782021,0.743714,0.7908119,0.725434,0.7600526,0.7805635,0.6990882,0.8570933,0.8300104,0.7004831,0.6582031,0.7136825,0.514452,0.5797279,0.7957029,0.7211409,0.7301999,0.6821494,0.5085117,0.7028125,0.4109204,0.7458541,0.7755668,0.8138983,0.7543996,0.743736,0.8434421,0.7319893,0.6029388,0.7109781,0.6055529,0.7131355,0.702763,0.6159241,0.7931265,0.6469125,0.7143226,0.6497518
cg16932827,0.6978698,0.7366664,0.7627315,0.6633794,0.6334444,0.7161654,0.7513144,0.6780426,0.7329114,0.7006993,0.6845713,0.6694418,0.7324761,0.6994695,0.6679376,0.6687651,0.718501,0.6839848,0.7031662,0.6145603,0.7236472,0.6602997,0.7270311,0.7210606,0.688563,0.7035601,0.6457549,0.6543422,0.7633788,0.7752981,0.791514,0.7774909,0.7893748,0.6826347,0.8050411,0.8091447,0.7986189,0.7727408,0.7888008,0.7851456,0.7477371,0.7835803,0.763961,0.7987576,0.8427975,0.8561803,0.8227751,0.8074809,0.7228684,0.8095366,0.7792273,0.7861833,0.7917879,0.7582031,0.8048007,0.8306286,0.8517985,0.8264233,0.7431467,0.7424889,0.803479,0.6025379,0.5777707,0.7777884,0.7825711,0.7293391,0.7234409,0.6262363,0.7882807,0.5272748,0.8022848,0.7602394,0.8200026,0.8070858,0.7592394,0.7757921,0.715571,0.5711738,0.7531551,0.7017615,0.7591138,0.6929663,0.7209167,0.5982662,0.7506936,0.81682,0.725169
cg23078123,0.5849305,0.5422488,0.5531424,0.5564699,0.4868676,0.5040904,0.5156481,0.4772428,0.5325642,0.4927952,0.4944316,0.4675531,0.6170135,0.5380238,0.4832127,0.5565976,0.5547729,0.5537338,0.5485434,0.5077816,0.5033891,0.5204124,0.556352,0.4860725,0.5106839,0.499544,0.4834207,0.5306564,0.5758836,0.5754664,0.5684719,0.5680012,0.5808229,0.4559438,0.5290889,0.5430931,0.5846365,0.5242139,0.5037318,0.5669077,0.5270201,0.5593473,0.550596,0.5661367,0.592649,0.602519,0.6373838,0.6126895,0.5188896,0.5754547,0.5461788,0.5818617,0.5171677,0.5243138,0.5253906,0.5948635,0.6930946,0.5672306,0.5839868,0.5538247,0.5110513,0.4382291,0.4706913,0.4676962,0.4684083,0.482713,0.4703839,0.452439,0.5231555,0.4406947,0.5198367,0.5090415,0.583644,0.4971598,0.5747031,0.5663173,0.5338757,0.4426474,0.4999323,0.5034838,0.4636054,0.4420696,0.4568381,0.4476781,0.4588559,0.5045009,0.501921
cg22682811,0.109644,0.09174702,0.112737,0.09623762,0.1449872,0.142724,0.1218414,0.08345504,0.1010082,0.09895083,0.1019297,0.09900267,0.09984739,0.1399177,0.1075978,0.08215686,0.119974,0.1058477,0.07769665,0.09772296,0.1519669,0.09136146,0.06985502,0.06976201,0.1051938,0.1115052,0.154041,0.08040556,0.08895463,0.1289131,0.1247884,0.1251625,0.1030151,0.1066131,0.1078502,0.1089078,0.1010965,0.1193401,0.1416114,0.1179086,0.1632957,0.1509595,0.1210614,0.1073684,0.08997585,0.1250199,0.1234043,0.1148435,0.1265284,0.1694363,0.1443539,0.1659634,0.1450276,0.1221139,0.1188464,0.2097841,0.1007893,0.1172387,0.1972668,0.1519385,0.1366871,0.1558522,0.1845823,0.1845128,0.1647632,0.1374804,0.173618,0.1976861,0.185,0.1409683,0.1506145,0.1354701,0.1718223,0.143877,0.1685144,0.1981098,0.1574739,0.1614022,0.2068138,0.1693252,0.2035077,0.2015614,0.1951008,0.1316755,0.209417,0.1390364,0.1250216
cg14692377,0.1276364,0.1249622,0.1752741,0.1275581,0.2155632,0.1949079,0.1451911,0.1344593,0.1520371,0.1859278,0.1473964,0.1552571,0.16002,0.1961727,0.1627213,0.105172,0.130224,0.1072671,0.09848663,0.1036675,0.1171453,0.09142264,0.07079479,0.0739698,0.1130258,0.1014397,0.1752075,0.10157,0.1010549,0.1406125,0.1151616,0.1176796,0.1035521,0.1851152,0.1604184,0.1336964,0.1259473,0.1343768,0.1923248,0.1404777,0.1817425,0.143542,0.1545379,0.154785,0.08825668,0.09810726,0.1029641,0.08869516,0.1113643,0.1294493,0.1274971,0.1011226,0.08560199,0.1421383,0.09326885,0.1141332,0.06563346,0.1067152,0.2051641,0.1621622,0.1300006,0.2356547,0.2015448,0.2706772,0.1951514,0.1904456,0.2267264,0.2055906,0.2125903,0.2660524,0.1725823,0.1874457,0.177067,0.1724265,0.1700899,0.1489767,0.1950574,0.1712812,0.1765919,0.1397031,0.1246606,0.1305866,0.1599379,0.111874,0.1821787,0.1306341,0.1476808
cg05213896,0.2377317,0.2013136,0.1739755,0.2167893,0.2853848,0.2764343,0.2091108,0.1847972,0.2044045,0.2465372,0.2137704,0.2540196,0.2013396,0.2382034,0.1815052,0.2145347,0.290629,0.2624207,0.2167659,0.3208188,0.2437339,0.116745,0.2049825,0.1402833,0.267552,0.2838449,0.277797,0.2536546,0.1707073,0.1297258,0.1460114,0.08853053,0.1568142,0.2058682,0.1568346,0.1347296,0.1156213,0.1713128,0.219995,0.1472558,0.2442595,0.1814759,0.1367557,0.264129,0.1219354,0.1824156,0.1908892,0.1561439,0.2275229,0.2116978,0.1770607,0.1329386,0.2047435,0.2161946,0.1208919,0.2142404,0.09718056,0.1765881,0.2934532,0.2443937,0.2026892,0.2225545,0.2649683,0.3451134,0.2516324,0.2176356,0.2837409,0.2875877,0.2855377,0.5110118,0.2699648,0.2255232,0.1757351,0.2387128,0.2217785,0.1928793,0.3221736,0.3023045,0.3021407,0.2929956,0.2483708,0.2779055,0.2782708,0.2281205,0.2259046,0.1868043,0.2553006
cg09124496,0.6703697,0.7655888,0.7571179,0.6564283,0.6391044,0.6781169,0.676531,0.6904232,0.7236885,0.6014417,0.5862545,0.6246409,0.7675676,0.6900953,0.5976796,0.7231598,0.7803422,0.7591519,0.6736034,0.577053,0.5750918,0.6422846,0.6768476,0.6816002,0.6124091,0.6300396,0.5656257,0.7164316,0.7807617,0.745268,0.7833109,0.7143928,0.6758023,0.6185627,0.7181354,0.6953472,0.7002999,0.7648277,0.6390969,0.6906549,0.6340744,0.6996788,0.7504348,0.6918198,0.7797847,0.8106129,0.7592797,0.7033038,0.629961,0.6860535,0.7220331,0.7061131,0.6649789,0.6930725,0.6558267,0.641642,0.7648517,0.7362434,0.6377425,0.6814184,0.6861032,0.5659928,0.5051132,0.5831196,0.5234906,0.5739072,0.602194,0.5597124,0.6076351,0.5094919,0.5930497,0.5746502,0.7032774,0.7180656,0.713119,0.7497266,0.6393278,0.3852092,0.6451613,0.6092344,0.6309438,0.5689632,0.5151405,0.5149968,0.5551154,0.6213702,0.6217321
cg01820374,0.3171786,0.3915753,0.3554779,0.3054635,0.2692605,0.3025247,0.3123696,0.2835479,0.2931845,0.263348,0.2639084,0.2880931,0.2915136,0.250707,0.2361251,0.286669,0.2869019,0.2910444,0.3049881,0.2295453,0.2457579,0.2632105,0.2911251,0.256862,0.2771116,0.3159151,0.2402756,0.290786,0.2955109,0.2903241,0.3481046,0.3648467,0.328487,0.2707551,0.2923799,0.331197,0.2754878,0.2915201,0.2359686,0.2952722,0.3065085,0.2671067,0.2764544,0.2602315,0.3361349,0.3296145,0.3125753,0.2690873,0.2649802,0.2512243,0.2745163,0.2821638,0.2550991,0.2903369,0.3089126,0.279747,0.3416235,0.2843271,0.2749483,0.3450793,0.3413469,0.1909196,0.2566611,0.2385426,0.2719001,0.2171232,0.2467973,0.1866202,0.2270157,0.1965796,0.2490637,0.2679651,0.2597778,0.2979129,0.2485539,0.2808955,0.2124734,0.1712986,0.2325161,0.201131,0.2780698,0.2032153,0.2641031,0.1605831,0.2432625,0.2957093,0.2554592
cg05308819,0.5272169,0.5444127,0.5452302,0.4895608,0.4561606,0.4882743,0.5267563,0.4941821,0.5131766,0.4700556,0.4621398,0.4391887,0.5388175,0.4743875,0.4889931,0.504922,0.5094903,0.4772825,0.4978739,0.440445,0.487312,0.4919033,0.4825068,0.4506862,0.4567065,0.4651473,0.4703541,0.5138947,0.5514456,0.4802676,0.5364523,0.5195344,0.5137711,0.4284244,0.4642621,0.4928278,0.4956175,0.4756994,0.4844992,0.5299242,0.4796918,0.4821284,0.4674997,0.5164982,0.5340142,0.5893599,0.5445073,0.5042242,0.4210581,0.4939441,0.4892764,0.4815845,0.5125895,0.4563696,0.4819092,0.5132517,0.5504239,0.5077489,0.4779055,0.5313803,0.4797835,0.402125,0.4579616,0.4504356,0.4669343,0.4604091,0.4518937,0.427679,0.4846786,0.3991926,0.4911124,0.4325992,0.4853278,0.4742483,0.4601483,0.4981072,0.4209624,0.4344812,0.4355055,0.4310797,0.4621362,0.4520954,0.4578307,0.3119833,0.4253953,0.4705265,0.4620501
cg10906284,0.08378197,0.07757996,0.1184457,0.1472231,0.2958869,0.258512,0.1420381,0.1516638,0.1945885,0.1381612,0.1166349,0.1449771,0.2143544,0.3148672,0.1710003,0.1604397,0.1997824,0.1399079,0.1144219,0.1468781,0.2808231,0.1128966,0.1119881,0.08345662,0.1530239,0.09456246,0.2988954,0.09775146,0.08581849,0.1519186,0.154306,0.1055132,0.1186697,0.1552092,0.196324,0.1356024,0.1269244,0.1527097,0.1736759,0.1099204,0.1936261,0.2077595,0.1333562,0.2110264,0.110321,0.1286023,0.1037949,0.1339658,0.1329629,0.1522126,0.1668634,0.192624,0.1289949,0.1118421,0.09050544,0.1704255,0.1300468,0.1578431,0.2266321,0.233778,0.1492754,0.2044749,0.2382904,0.315188,0.2186833,0.3055113,0.2428098,0.2895824,0.243853,0.2601545,0.2261118,0.2376191,0.167808,0.2273415,0.2114584,0.1917383,0.2622201,0.2964028,0.2401489,0.1655367,0.2624891,0.1852127,0.1834584,0.1714142,0.1810714,0.2154423,0.1575418
cg17953764,0.2234007,0.2825329,0.3453342,0.3592609,0.4919958,0.4751215,0.3477609,0.3326641,0.431228,0.3102457,0.2979809,0.3767577,0.4598878,0.5456635,0.4034999,0.3959555,0.4872904,0.3965931,0.3829645,0.3881339,0.4827724,0.3860007,0.3314259,0.32245,0.4314671,0.3969551,0.4708304,0.3414649,0.4899124,0.3517056,0.3200398,0.2400287,0.3377556,0.3707424,0.3717914,0.3161982,0.3232299,0.3565478,0.4319743,0.3065163,0.3949524,0.3670635,0.3522405,0.4371473,0.3197849,0.4187279,0.4126905,0.3659889,0.3552348,0.4505504,0.3436965,0.4567252,0.3687662,0.4066637,0.3241463,0.4882573,0.3747479,0.3794269,0.4676773,0.4077299,0.366184,0.3996443,0.4395244,0.486827,0.443128,0.4274468,0.4681216,0.4291223,0.4973259,0.4687433,0.4780964,0.4012425,0.4089459,0.4887594,0.4125766,0.4734768,0.5751017,0.5470268,0.5060965,0.4727795,0.5384722,0.4522218,0.4589374,0.6105819,0.4613843,0.399411,0.3828743
cg02872426,0.7270265,0.4974505,0.5869676,0.6318193,0.4088409,0.4288652,0.5798806,0.4127156,0.390881,0.4954251,0.3677158,0.4087271,0.4671255,0.3901786,0.4559051,0.5891069,0.6557289,0.6209237,0.3689655,0.3652482,0.5202888,0.2949191,0.6524445,0.5045497,0.4536644,0.6058469,0.2704415,0.4535086,0.6873251,0.4249955,0.5317807,0.6573733,0.5799586,0.4841065,0.4633988,0.4870522,0.478489,0.4855742,0.5507231,0.4591965,0.5077649,0.5367563,0.4657133,0.3952157,0.6321421,0.6794695,0.640101,0.4722426,0.3409005,0.4598937,0.4126695,0.5440496,0.5176221,0.3958913,0.7601512,0.5059227,0.6460017,0.7499663,0.4333037,0.3880415,0.3167182,0.3267386,0.3763414,0.4089938,0.4230566,0.3487504,0.3142909,0.3661247,0.2156334,0.1702411,0.3781754,0.4937921,0.737368,0.5122398,0.614107,0.5165207,0.4112378,0.2638457,0.4669361,0.1732615,0.4133823,0.3650982,0.3101127,0.4555496,0.3554124,0.5021834,0.4415243
cg02383785,0.09811362,0.0753436,0.08867399,0.1132993,0.1218095,0.1240638,0.09273439,0.08009735,0.09738494,0.1340409,0.08978175,0.0910653,0.111859,0.1278261,0.1080024,0.08296697,0.1072389,0.08675748,0.0966192,0.1005328,0.1312788,0.08161133,0.0859255,0.062665,0.09758423,0.07439706,0.145639,0.07550519,0.09124509,0.1048349,0.1096495,0.0872093,0.09975018,0.09988304,0.1045072,0.09499198,0.08744006,0.1005473,0.1100528,0.09664293,0.1242667,0.1316425,0.07621431,0.1218814,0.09425549,0.09972101,0.08921243,0.08935166,0.1175282,0.1248702,0.09991942,0.09210254,0.09443072,0.08619619,0.07871073,0.1387387,0.09472713,0.07229546,0.1483083,0.1485282,0.1291798,0.1069115,0.1272319,0.1486878,0.1288917,0.1287197,0.1319015,0.1221252,0.1699924,0.1458286,0.1168033,0.1055944,0.1400924,0.1169188,0.1164222,0.1234824,0.1559515,0.1559601,0.170113,0.1129435,0.1237386,0.1145336,0.1290116,0.1065259,0.1361993,0.08644331,0.1115825
